Id	Name	Element Type	Element Category	Unique Id2	WorksetId
21859				b0b76196-1902-482f-b464-0488e33408cc-00005563	Workset 1
51106	05 - Level 05			c8923f5e-6a14-4420-9b1d-c31d7ae067d2-0000c7a2	Shared Levels & Grids
75711	Structural Framing System		Structural Beam Systems	ac5dceb5-e785-4ed1-84b6-33632e089ecb-000127bf	Workset 1
83163	Visual Style			b20812af-a644-42eb-b55b-45cf0863f9e3-000144db	Workset 1
83165	Visual Style			b20812af-a644-42eb-b55b-45cf0863f9e3-000144dd	Workset 1
134082				062c2929-d76e-40e0-b479-76f14d9048f3-00020bc2	Workset 1
134083	Default		HVAC Zones	062c2929-d76e-40e0-b479-76f14d9048f3-00020bc3	Workset 1
160978	Autodesk			ed97841c-23c2-4bab-bab4-4aaf07bbff08-000274d2	Workset 1
181446	Zig Zag		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4c6	Workset 1
181447	Triangle Step (bent)		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4c7	Workset 1
181448	Triangle Checkerboard (flat)		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4c8	Workset 1
181449	Triangle Checkerboard (bent)		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4c9	Workset 1
181450	Triangle (flat)		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4ca	Workset 1
181451	Triangle (bent)		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4cb	Workset 1
181452	Rhomboid Checkerboard		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4cc	Workset 1
181453	Rhomboid		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4cd	Workset 1
181454	Rectangle Checkerboard		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4ce	Workset 1
181455	Rectangle		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4cf	Workset 1
181456	Octagon Rotate		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d0	Workset 1
181457	Octagon		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d1	Workset 1
181458	Hexagon		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d2	Workset 1
181459	Arrows		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d3	Workset 1
181460	_No Pattern		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d4	Workset 1
181461	1/3 Step		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d5	Workset 1
181462	1/2 Step		Division Rules	65d5ecea-b597-4b9b-b11b-449edfa88ac4-0002c4d6	Workset 1
181504	"Basic Roof : Roof - 12"" (Section)"		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c500	Workset 1
181507	"Floor : Floor - 12"" (Section)"		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c503	Workset 1
181508	Basic Ceiling : Ceiling (Section)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c504	Workset 1
181511	"Basic Wall : Wall - 12"" (Floor Plan)"		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c507	Workset 1
181523	Curtain Wall (Floor Plan)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c513	Exterior Skin
181538	Compound Ceiling : 2' x 2' ACT System (Section)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c522	Workset 1
181539	"Roof Soffit : Soffit - 4"" (Section)"		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c523	Workset 1
181544	Stacked Wall (Floor Plan)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c528	Workset 1
181546	"Foundation Slab : Foundation Slab - 6"" (Section)"		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c52a	Workset 1
181548	Pipe Types : Default Pipe (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c52c	Workset 1
181549	Rectangular Duct : Default (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c52d	Workset 1
181550	Round Duct : Default (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c52e	Workset 1
181551	Oval Duct : Default (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c52f	Workset 1
181552	Flex Duct Rectangular : Flex - Rectangular (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c530	Workset 1
181553	Flex Duct Round : Flex - Round (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c531	Workset 1
181554	Flex Pipe Round : Flex - Round (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c532	Workset 1
181556	Cable Tray with Fittings : Ladder Cable Tray (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c534	Workset 1
181558	Cable Tray without Fittings : Ladder Cable Tray (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c536	Workset 1
181559	Conduit with Fittings : Conduit (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c537	Workset 1
181560	Conduit without Fittings : Conduit (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c538	Workset 1
181561	Legend Component - System Panel (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c539	Workset 1
181562	Legend Component - Empty System Panel (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c53a	Workset 1
181563	Legend Component - Parking Space (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c53b	Workset 1
181565	Legend Component - RPC Tree - Deciduous (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c53d	Workset 1
181571	Legend Component - Termination - Wood - Rectangular (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c543	Workset 1
181572	Legend Component - Support - Metal - Circular (3D)		Legend Components	8431b36c-d40f-4470-a35d-72c75a3031fa-0002c544	Workset 1
184914	05 - Level 05			031ac5e6-dc79-45ea-9d51-e1243d31a9cb-0002d252	Shared Levels & Grids
184944	05 - Level 05			031ac5e6-dc79-45ea-9d51-e1243d31a9cb-0002d270	Shared Levels & Grids
184945	RO Logo 2012-10-01.png			3735d9a2-66d8-42d2-a46a-0def93075741-0002d271	Workset 1
184946	RO Logo 2012-10-01.png		Raster Images	3735d9a2-66d8-42d2-a46a-0def93075741-0002d272	Workset 1
184997	05 - Level 05			48759c98-1e71-4a1f-bac9-256efe5bb3c9-0002d2a5	Shared Levels & Grids
185007	05 - Level 05			7311bd87-2739-439c-8a76-1cec2c6000ae-0002d2af	Shared Levels & Grids
185037	05 - Level 05			7311bd87-2739-439c-8a76-1cec2c6000ae-0002d2cd	Shared Levels & Grids
186604	05 - Level 05			386d4c1e-6dc7-422a-a949-612dbf9c3d2e-0002d8ec	Shared Levels & Grids
186614	05 - Level 05			386d4c1e-6dc7-422a-a949-612dbf9c3d2e-0002d8f6	Shared Levels & Grids
196918	Legend Component - Trash Can (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-00030136	Workset 1
197353	Legend Component - Planter (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-000302e9	Workset 1
198040	Legend Component - Park Bench (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-00030598	Workset 1
198504	Legend Component - Flag Pole (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-00030768	Workset 1
199042	Legend Component - Dumpster (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-00030982	Workset 1
200004	Legend Component - Bike Stand (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-00030d44	Workset 1
200812	Legend Component - Bollard (3D)		Legend Components	e6e22f55-c175-4927-908e-ec4345586f27-0003106c	Workset 1
201196	Legend Component - Parking Symbol - ADA (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-000311ec	Workset 1
202033	Legend Component - RO Parking Space - Compact (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00031531	Workset 1
202432	Legend Component - RO Parking Space - Parallel (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-000316c0	Workset 1
202829	Legend Component - RO Pavement Stripe (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-0003184d	Workset 1
203501	Legend Component - RO Simple Tree-Round (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00031aed	Workset 1
205481	Legend Component - RO Storage Container-20ft (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-000322a9	Workset 1
206132	Legend Component - RO Traffic Barrel (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00032534	Workset 1
206596	Legend Component - Safety Barricade (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00032704	Workset 1
207766	Legend Component - Barrier_Concrete (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00032b96	Workset 1
236394	Legend Component - RO Material Hoist - Double-Single (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-00039b6a	Workset 1
237797	Legend Component - RO Truck - Concrete (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-0003a0e5	Workset 1
239041	Legend Component - RO Truck - Dump (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-0003a5c1	Workset 1
239734	Legend Component - RO Truck - Haul (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-0003a876	Workset 1
245143	Legend Component - Schwing S 52 SX Concrete Pump Truck (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-0003bd97	Workset 1
262383	Legend Component - RO Tower Crane - Liebherr 420 EC-H 16 (3D)		Legend Components	7e92b883-0638-4b3c-9ee1-e72c56fa9935-000400ef	Workset 1
287290	RO Logo 2012-10-01.png 2			ca9fd06c-ad73-4727-b4a0-a02418d3d893-0004623a	Workset 1
287291	RO Logo 2012-10-01.png 2		Raster Images	ca9fd06c-ad73-4727-b4a0-a02418d3d893-0004623b	Workset 1
287342	05 - Level 05			95b9f38a-62f2-469f-b746-844627d8453a-0004626e	Shared Levels & Grids
288846	Legend Component - Building Sign (3D)		Legend Components	eea92759-5e9e-45e5-a301-defd36846d77-0004684e	Workset 1
297301	Legend Component - RO Fall Protection Anchor (3D)		Legend Components	eea92759-5e9e-45e5-a301-defd36846d77-00048955	Workset 1
299325	RO Logo 2012-10-01.png 3			c974eea1-b63c-4bb2-83f2-5b329dd501d9-0004913d	Workset 1
299326	RO Logo 2012-10-01.png 3		Raster Images	c974eea1-b63c-4bb2-83f2-5b329dd501d9-0004913e	Workset 1
301932	"Floor : Generic - 12"" (Section)"		Legend Components	9b51f10c-dc86-43e3-9b46-0a20eb222bfe-00049b6c	Workset 1
307530	Legend Component - RO Manitowoc Crawler Crane (3D)		Legend Components	04490a36-5903-43a0-9f18-49fe125a55b7-0004b14a	Workset 1
317438	Legend Component - RO Pallett (3D)		Legend Components	04490a36-5903-43a0-9f18-49fe125a55b7-0004d7fe	Workset 1
322192	Legend Component - Tower_Crane (3D)		Legend Components	04490a36-5903-43a0-9f18-49fe125a55b7-0004ea90	Workset 1
330890	Legend Component - RO Mast Climber (3D)		Legend Components	83cced9e-7ffe-4394-82d7-17c8c9459558-00050c8a	Workset 1
331837	NumberingSchema			56c66d2d-7862-410b-9016-aebe472a230d-0005103d	Workset 1
331838	NumberingSchema			56c66d2d-7862-410b-9016-aebe472a230d-0005103e	Workset 1
422075	05 - Level 05			8e1bc88a-5231-48c0-85e3-0b0d91e722c2-000670bb	Shared Levels & Grids
422837	NumberingSchema			d766b415-3f8a-4a4c-92f7-51c8fbeecb29-000673b5	Shared Levels & Grids
439073	MD-Anderson-Cancer-Center-main-operating-suite.png			98aca7d8-940f-42d3-ac97-34ca5c80e037-0006b321	Shared Levels & Grids
439074	MD-Anderson-Cancer-Center-main-operating-suite.png		Raster Images	98aca7d8-940f-42d3-ac97-34ca5c80e037-0006b322	Shared Levels & Grids
442310	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006bfc6	Interior
442624	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c100	Interior
442674	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c132	Interior
442738	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c172	Interior
442795	"Basic Wall : Wall - 8"" (Floor Plan)"		Legend Components	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c1ab	Exterior Skin
443017	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c289	Exterior Skin
443092	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c2d4	Exterior Skin
443157	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c315	Exterior Skin
443248	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c370	Exterior Skin
443287	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c397	Exterior Skin
443332	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c3c4	Exterior Skin
443585	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c4c1	Exterior Skin
443642	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c4fa	Exterior Skin
443716	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c544	Exterior Skin
443868	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c5dc	Exterior Skin
443912	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c608	Exterior Skin
444083	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c6b3	Exterior Skin
444181	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c715	Exterior Skin
444235	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c74b	Exterior Skin
444521	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c869	Exterior Skin
444745	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006c949	Exterior Skin
444956	"Basic Wall : Wall - 6"" (Floor Plan)"		Legend Components	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006ca1c	Interior
445130	"Wall - 6"""	"Wall - 6"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006caca	Interior
445291	"Wall - 6"""	"Wall - 6"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cb6b	Interior
445336	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cb98	Interior
445385	"Wall - 6"""	"Wall - 6"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cbc9	Interior
445609	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cca9	Interior
445700	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cd04	Interior
445754	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cd3a	Interior
445872	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cdb0	Interior
445960	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006ce08	Interior
446094	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006ce8e	Interior
446193	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cef1	Interior
446349	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cf8d	Interior
446437	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006cfe5	Interior
446653	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d0bd	Interior
446754	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d122	Interior
446907	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d1bb	Interior
447037	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d23d	Interior
447141	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d2a5	Interior
447284	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d334	Interior
447342	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d36e	Interior
447419	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d3bb	Interior
447473	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d3f1	Interior
447569	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d451	Interior
447617	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d481	Interior
447836	"Wall - 6"""	"Wall - 6"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d55c	Interior
448011	"Wall - 6"""	"Wall - 6"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d60b	Interior
448057	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d639	Interior
448180	"Wall - 12"""	"Wall - 12"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d6b4	Interior
448351	"Basic Wall : Wall - 4"" (Floor Plan)"		Legend Components	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d75f	Interior
448465	"Wall - 4"""	"Wall - 4"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d7d1	Interior
448578	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d842	Interior
448891	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d97b	Interior
448945	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d9b1	Interior
449007	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006d9ef	Interior
449046	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006da16	Interior
449183	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006da9f	Interior
449493	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dbd5	Interior
449617	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dc51	Interior
449856	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dd40	Interior
450013	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dddd	Interior
450068	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006de14	Interior
450159	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006de6f	Interior
450338	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006df22	Interior
450476	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dfac	Interior
450545	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006dff1	Interior
450593	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e021	Interior
450658	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e062	Interior
450726	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e0a6	Interior
450973	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e19d	Interior
451029	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e1d5	Interior
451080	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e208	Interior
451170	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e262	Interior
451229	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e29d	Interior
451293	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e2dd	Interior
451337	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e309	Interior
451436	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e36c	Interior
451481	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e399	Interior
451524	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e3c4	Interior
451568	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e3f0	Interior
451623	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e427	Interior
451696	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e470	Interior
451825	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e4f1	Interior
451885	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e52d	Interior
451937	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e561	Interior
452034	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006e5c2	Interior
454735	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f04f	Interior
454736	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f050	Interior
454737	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f051	Interior
454738	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f052	Interior
454739	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f053	Interior
454740	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f054	Interior
454741	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f055	Interior
454742	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f056	Interior
454743	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f057	Interior
454744	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f058	Interior
454745	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f059	Interior
454746	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05a	Interior
454747	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05b	Interior
454748	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05c	Interior
454749	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05d	Interior
454750	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05e	Interior
454751	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f05f	Interior
454752	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f060	Interior
454753	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f061	Interior
454754	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f062	Interior
454755	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f063	Interior
454756	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f064	Interior
454757	"Wall - 8"""	"Wall - 8"""	Walls	a1ef2470-1d10-4dff-ae9b-22b7467387cb-0006f065	Interior
454983	"Wall - 8"""	"Wall - 8"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f147	Interior
455046	"Wall - 12"""	"Wall - 12"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f186	Interior
455222	"Wall - 8"""	"Wall - 8"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f236	Interior
455415	"Wall - 8"""	"Wall - 8"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f2f7	Interior
455502	"Wall - 8"""	"Wall - 8"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f34e	Interior
455568	"Wall - 8"""	"Wall - 8"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f390	Interior
455675	"Wall - 12"""	"Wall - 12"""	Walls	04907552-2f8e-4f37-a4f8-9b51dfeba6f2-0006f3fb	Interior
